idioma,cantidad_peliculas
English,26824
,3992
Français,2427
Italiano,1410
日本語,1388
Deutsch,1300
Español,1143
Pусский,905
हिन्दी,547
한국어/조선말,446
普通话,413
广州话 / 廣州話,405
svenska,338
Português,329
suomi,326
No Language,306
Nederlands,296
Dansk,277
العربية,265
Český,264
Polski,244
Türkçe,149
Magyar,142
ελληνικά,133
فارسی,100
Norsk,98
தமிழ்,81
עִבְרִית,76
Română,75
ภาษาไทย,71
Srpski,46
বাংলা,43
తెలుగు,43
Eesti,40
Hrvatski,34
Català,31
Íslenska,31
Bahasa indonesia,26
български език,25
Bosanski,25
shqip,24
Afrikaans,22
Latin,22
ქართული,21
Latviešu,16
Український,16
اردو,15
Lietuvikai,15
Tiếng Việt,15
euskera,14
Slovenščina,12
Slovenčina,9
қазақ,8
Bahasa melayu,5
Gaeilge,5
ਪੰਜਾਬੀ,4
isiZulu,4
Bamanankan,4
Azərbaycan,4
?????,3
Bokmål,3
??????,3
Wolof,3
Esperanto,3
Galego,3
پښتو,2
Kiswahili,2
беларуская мова,2
Cymraeg,2
Kinyarwanda,1
Somali,1
Hausa,1
Fulfulde,1
